Frequency	VSWR
34.630001	6.2183919
34.639999	6.0947759
34.650002	5.9705724
34.66	5.845975
34.669998	5.721186
34.68	5.5963965
34.689999	5.4718006
34.700001	5.3475876
34.709999	5.223935
34.720001	5.1010212
34.73	4.9790109
34.740002	4.8580617
34.75	4.7383201
34.759998	4.6199251
34.77	4.5030029
34.779999	4.3876708
34.790001	4.2740327
34.799999	4.1621866
34.810001	4.0522156
34.82	3.9441946
34.830002	3.8381868
34.84	3.734249
34.849998	3.6324251
34.860001	3.5327537
34.869999	3.4352631
34.880001	3.3399743
34.889999	3.246901
34.900002	3.1560508
34.91	3.0674264
34.919998	2.9810219
34.93	2.89683
34.939999	2.8148364
34.950001	2.7350244
34.959999	2.657373
34.970001	2.5818584
34.98	2.5084545
34.990002	2.4371333
35	2.3678649
35.009998	2.3006183
35.02	2.2353616
35.029999	2.1720632
35.040001	2.1106908
35.049999	2.0512128
35.060001	1.9935992
35.07	1.9378208
35.080002	1.8838508
35.09	1.8316651
35.099998	1.7812428
35.110001	1.7325681
35.119999	1.6856299
35.130001	1.6404246
35.139999	1.5969571
35.150002	1.5552428
35.16	1.5153117
35.169998	1.4772107
35.18	1.4410093
35.189999	1.4068057
35.200001	1.374734
35.209999	1.3449741
35.220001	1.3177616
35.23	1.2933968
35.240002	1.2722498
35.25	1.2547531
35.259998	1.2413732
35.27	1.2325536
35.279999	1.2286334
35.290001	1.2297657
35.299999	1.235873
35.310001	1.2466655
35.32	1.2617109
35.330002	1.2805209
35.34	1.3026209
35.349998	1.3275905
35.360001	1.355079
35.369999	1.3848044
35.380001	1.4165452
35.389999	1.4501303
35.400002	1.4854285
35.41	1.5223398
35.419998	1.560789
35.43	1.6007195
35.439999	1.6420892
35.450001	1.6848676
35.459999	1.7290325
35.470001	1.7745689
35.48	1.8214663
35.490002	1.8697184
35.5	1.9193219
35.509998	1.9702751
35.52	2.0225781
35.529999	2.0762318
35.540001	2.1312368
35.549999	2.1875942
35.560001	2.2453042
35.57	2.3043666
35.580002	2.3647795
35.59	2.4265396
35.599998	2.489642
35.610001	2.5540801
35.619999	2.6198443
35.630001	2.6869228
35.639999	2.7553012
35.650002	2.8249619
35.66	2.8958843
35.669998	2.9680445
35.68	3.0414147
35.689999	3.1159635
35.700001	3.1916559
35.709999	3.2684523
35.720001	3.3463091
35.73	3.425179
35.740002	3.5050103
35.75	3.5857454
35.759998	3.667325
35.77	3.7496833
35.779999	3.8327513
35.790001	3.9164547
35.799999	4.0007164
35.810001	4.0854559
35.82	4.1705861
35.830002	4.2560193
35.84	4.3416641
35.849998	4.4274255
35.860001	4.5132061
35.869999	4.5989085
35.880001	4.6844314
35.889999	4.7696733
35.900002	4.8545312
35.91	4.938905
35.919998	5.0226922
35.93	5.105792
35.939999	5.1881052
35.950001	5.269538
35.959999	5.3499957
35.970001	5.4293876
35.98	5.5076281
35.990002	5.5846354
36	5.6603336
36.009998	5.7346537
36.02	5.8075254
36.029999	5.8788936
36.040001	5.9487056
36.049999	6.0169131
36.060001	6.0834812
36.07	6.1483761
36.080002	6.211571
36.09	6.2730524
36.099998	6.3328084
36.110001	6.3908344
36.119999	6.4471365
36.130001	6.5017206
36.139999	6.554605
36.150002	6.6058115
36.16	6.6553696
36.169998	6.7033078
36.18	6.7496683
36.189999	6.794491
36.200001	6.8378188
36.209999	6.8797058
36.220001	6.9201977
36.23	6.9593552
36.240002	6.9972293
36.25	7.0338802
36.259998	7.0693635
36.27	7.1037418
36.279999	7.1370706
36.290001	7.1694106
36.299999	7.2008144
36.310001	7.2313463
36.32	7.2610521
36.330002	7.2899932
36.34	7.3182144
36.349998	7.3457656
36.360001	7.3726946
36.369999	7.3990364
36.380001	7.4248414
36.389999	7.450138
36.400002	7.4749644
36.41	7.4993455
36.419998	7.5233041
36.43	7.5468723
36.439999	7.5700587
36.450001	7.5928881
36.459999	7.615359
36.470001	7.6374904
36.48	7.6592773
36.490002	7.6807244
36.5	7.7018275
36.509998	7.7225775
36.52	7.742966
36.529999	7.7629804
36.540001	7.7826032
36.549999	7.8018138
36.560001	7.8205917
36.57	7.8389129
36.580002	7.8567512
36.59	7.8740777
36.599998	7.8908595
36.610001	7.9070666
36.619999	7.922665
36.630001	7.9376188
36.639999	7.9518934
36.650002	7.9654561
36.66	7.9782643
36.669998	7.9902817
36.68	8.0014761
36.689999	8.0118083
36.700001	8.0212421
36.709999	8.0297439
36.720001	8.037284
36.73	8.0438217
36.740002	8.0493342
36.75	8.053787
36.759998	8.0571572
36.77	8.059419
36.779999	8.0605532
36.790001	8.0605353
36.799999	8.0593514
36.810001	8.0569866
36.82	8.0534314
36.830002	8.0486736
36.84	8.0427152
36.849998	8.0355466
36.860001	8.0271745
36.869999	8.017601
36.880001	8.0068355
36.889999	7.9948847
36.900002	7.9817634
36.91	7.967488
36.919998	7.9520777
36.93	7.9355578
36.939999	7.9179481
36.950001	7.8992781
36.959999	7.8795734
36.970001	7.8588673
36.98	7.8371952
36.990002	7.8145896
37	7.7910838
37.009998	7.7667215
37.02	7.7415392
37.029999	7.7155768
37.040001	7.6888745
37.049999	7.6614724
37.060001	7.6334144
37.07	7.6047452
37.080002	7.5754999
37.09	7.5457245
37.099998	7.5154559
37.110001	7.4847422
37.119999	7.45362
37.130001	7.4221282
37.139999	7.3903063
37.150002	7.3581939
37.16	7.3258248
37.169998	7.2932344
37.18	7.2604575
37.189999	7.2275266
37.200001	7.194475
37.209999	7.1613291
37.220001	7.1281179
37.23	7.094869
37.240002	7.0616065
37.25	7.0283545
37.259998	6.9951306
37.27	6.9619589
37.279999	6.928855
37.290001	6.8958377
37.299999	6.8629204
37.310001	6.8301161
37.32	6.7974366
37.330002	6.7648926
37.34	6.7324939
37.349998	6.7002457
37.360001	6.6681507
37.369999	6.6362182
37.380001	6.6044515
37.389999	6.5728483
37.400002	6.5414096
37.41	6.5101401
37.419998	6.4790315
37.43	6.4480867
37.439999	6.4172988
37.450001	6.3866637
37.459999	6.356178
37.470001	6.3258355
37.48	6.2956262
37.490002	6.2655489
37.5	6.235593
37.509998	6.2057524
37.52	6.176015
37.529999	6.1463772
37.540001	6.1168251
37.549999	6.0873549
37.560001	6.0579555
37.57	6.0286173
37.580002	5.9993345
37.59	5.9700946
37.599998	5.9408897
37.610001	5.9117127
37.619999	5.8825552
37.630001	5.8534108
37.639999	5.8242667
37.650002	5.7951229
37.66	5.7659701
37.669998	5.7367986
37.68	5.7076078
37.689999	5.6783902
37.700001	5.6491405
37.709999	5.619858
37.720001	5.5905348
37.73	5.5611718
37.740002	5.5317658
37.75	5.5023137
37.759998	5.4728157
37.77	5.4432712
37.779999	5.4136813
37.790001	5.3840477
37.799999	5.3543685
37.810001	5.3246478
37.82	5.2948871
37.830002	5.2650926
37.84	5.2352648
37.849998	5.2054093
37.860001	5.1755327
37.869999	5.145635
37.880001	5.1157269
37.889999	5.0858121
37.900002	5.0558991
37.91	5.0259919
37.919998	4.996099
37.93	4.966226
37.939999	4.9363835
37.950001	4.906578
37.959999	4.8768175
37.970001	4.8471115
37.98	4.8174658
37.990002	4.7878903
38	4.7583936
38.009998	4.7289851
38.02	4.6996728
38.029999	4.6704633
38.040001	4.6413669
38.049999	4.6123928
38.060001	4.5835477
38.07	4.5548418
38.080002	4.5262812
38.09	4.4978741
38.099998	4.4696295
38.110001	4.4415546
38.119999	4.4136559
38.130001	4.3859412
38.139999	4.3584187
38.150002	4.3310925
38.16	4.3039701
38.169998	4.2770574
38.18	4.2503607
38.189999	4.2238866
38.200001	4.1976377
38.209999	4.1716216
38.220001	4.1458415
38.23	4.1203026
38.240002	4.0950086
38.25	4.0699623
38.259998	4.0451693
38.27	4.0206322
38.279999	3.996353
38.290001	3.9723353
38.299999	3.9485818
38.310001	3.9250931
38.32	3.9018732
38.330002	3.8789215
38.34	3.8562418
38.349998	3.8338333
38.360001	3.8116987
38.369999	3.789837
38.380001	3.7682502
38.389999	3.746938
38.400002	3.7258999
38.41	3.7051371
38.419998	3.6846489
38.43	3.6644348
38.439999	3.644495
38.450001	3.6248284
38.459999	3.6054337
38.470001	3.5863111
38.48	3.5674592
38.490002	3.5488768
38.5	3.5305636
38.509998	3.512518
38.52	3.494738
38.529999	3.4772223
38.540001	3.4599719
38.549999	3.4429827
38.560001	3.4262545
38.57	3.4097859
38.580002	3.393575
38.59	3.3776212
38.599998	3.3619229
38.610001	3.3464778
38.619999	3.3312851
38.630001	3.3163442
38.639999	3.3016526
38.650002	3.2872093
38.66	3.2730127
38.669998	3.2590632
38.68	3.2453577
38.689999	3.2318952
38.700001	3.2186759
38.709999	3.2056983
38.720001	3.1929606
38.73	3.1804626
38.740002	3.1682029
38.75	3.1561819
38.759998	3.1443979
38.77	3.1328495
38.779999	3.1215377
38.790001	3.1104608
38.799999	3.0996189
38.810001	3.0890108
38.82	3.0786368
38.830002	3.0684966
38.84	3.0585894
38.849998	3.0489154
38.860001	3.0394744
38.869999	3.0302662
38.880001	3.0212901
38.889999	3.0125471
38.900002	3.004037
38.91	2.9957594
38.919998	2.9877147
38.93	2.9799031
38.939999	2.9723246
38.950001	2.9649792
38.959999	2.9578677
38.970001	2.9509899
38.98	2.9443463
38.990002	2.937937
39	2.9317622
39.009998	2.9258227
39.02	2.9201182
39.029999	2.9146496
39.040001	2.909417
39.049999	2.9044205
39.060001	2.8996609
39.07	2.8951385
39.080002	2.8908531
39.09	2.8868057
39.099998	2.8829962
39.110001	2.879425
39.119999	2.8760923
39.130001	2.8729986
39.139999	2.8701442
39.150002	2.867529
39.16	2.8651535
39.169998	2.8630176
39.18	2.861122
39.189999	2.8594661
39.200001	2.8580507
39.209999	2.8568756
39.220001	2.8559405
39.23	2.8552462
39.240002	2.854792
39.25	2.8545782
39.259998	2.8546043
39.27	2.854871
39.279999	2.855377
39.290001	2.856123
39.299999	2.8571083
39.310001	2.8583328
39.32	2.859796
39.330002	2.8614975
39.34	2.8634371
39.349998	2.8656141
39.360001	2.8680277
39.369999	2.870678
39.380001	2.8735642
39.389999	2.8766851
39.400002	2.8800402
39.41	2.8836287
39.419998	2.8874497
39.43	2.8915024
39.439999	2.8957859
39.450001	2.9002987
39.459999	2.9050396
39.470001	2.9100081
39.48	2.9152023
39.490002	2.9206212
39.5	2.9262633
39.509998	2.9321268
39.52	2.9382105
39.529999	2.9445121
39.540001	2.9510306
39.549999	2.9577639
39.560001	2.9647102
39.57	2.9718671
39.580002	2.9792325
39.59	2.9868042
39.599998	2.9945805
39.610001	3.002558
39.619999	3.0107349
39.630001	3.019108
39.639999	3.0276751
39.650002	3.0364331
39.66	3.0453785
39.669998	3.0545088
39.68	3.0638208
39.689999	3.0733114
39.700001	3.0829761
39.709999	3.0928119
39.720001	3.1028161
39.73	3.1129832
39.740002	3.1233099
39.75	3.1337926
39.759998	3.1444264
39.77	3.1552077
39.779999	3.1661311
39.790001	3.1771926
39.799999	3.1883878
39.810001	3.1997111
39.82	3.2111582
39.830002	3.2227235
39.84	3.2344022
39.849998	3.2461892
39.860001	3.2580784
39.869999	3.2700649
39.880001	3.2821425
39.889999	3.294306
39.900002	3.3065501
39.91	3.3188673
39.919998	3.3312526
39.93	3.3437002
39.939999	3.3562034
39.950001	3.3687559
39.959999	3.381352
39.970001	3.3939854
39.98	3.4066496
39.990002	3.4193374
40	3.4320431
40.009998	3.4447608
40.02	3.4574833
40.029999	3.4702039
40.040001	3.4829164
40.049999	3.4956148
40.060001	3.5082917
40.07	3.5209423
40.080002	3.5335585
40.09	3.5461352
40.099998	3.5586654
40.110001	3.5711438
40.119999	3.5835637
40.130001	3.5959184
40.139999	3.6082037
40.150002	3.6204117
40.16	3.6325387
40.169998	3.644578
40.18	3.6565241
40.189999	3.6683713
40.200001	3.6801159
40.209999	3.6917512
40.220001	3.7032727
40.23	3.7146763
40.240002	3.725957
40.25	3.73711
40.259998	3.7481313
40.27	3.7590165
40.279999	3.7697615
40.290001	3.7803625
40.299999	3.790817
40.310001	3.801119
40.32	3.811268
40.330002	3.8212579
40.34	3.8310879
40.349998	3.840754
40.360001	3.8502531
40.369999	3.8595831
40.380001	3.8687417
40.389999	3.8777253
40.400002	3.8865329
40.41	3.895161
40.419998	3.9036084
40.43	3.9118729
40.439999	3.9199516
40.450001	3.9278426
40.459999	3.9355458
40.470001	3.9430571
40.48	3.9503763
40.490002	3.9574998
40.5	3.9644268
40.509998	3.9711557
40.52	3.9776839
40.529999	3.9840091
40.540001	3.9901299
40.549999	3.9960433
40.560001	4.0017479
40.57	4.0072421
40.580002	4.0125218
40.59	4.0175849
40.599998	4.0224301
40.610001	4.0270523
40.619999	4.0314501
40.630001	4.0356201
40.639999	4.039558
40.650002	4.0432621
40.66	4.0467272
40.669998	4.0499507
40.68	4.0529269
40.689999	4.0556525
40.700001	4.0581231
40.709999	4.0603345
40.720001	4.0622805
40.73	4.0639565
40.740002	4.065359
40.75	4.0664791
40.759998	4.0673152
40.77	4.067858
40.779999	4.0681026
40.790001	4.0680429
40.799999	4.0676734
40.810001	4.0669859
40.82	4.0659754
40.830002	4.0646341
40.84	4.0629553
40.849998	4.0609324
40.860001	4.0585576
40.869999	4.0558235
40.880001	4.0527248
40.889999	4.0492524
40.900002	4.0453997
40.91	4.0411606
40.919998	4.0365255
40.93	4.0314894
40.939999	4.0260446
40.950001	4.0201834
40.959999	4.0139008
40.970001	4.0071886
40.98	4.0000416
40.990002	3.9924516
41	3.9844149
41.009998	3.9759237
41.02	3.966974
41.029999	3.9575592
41.040001	3.9476763
41.049999	3.9373185
41.060001	3.9264834
41.07	3.9151654
41.080002	3.9033634
41.09	3.891072
41.099998	3.8782899
41.110001	3.8650149
41.119999	3.8512451
41.130001	3.8369792
41.139999	3.8222164
41.150002	3.8069565
41.16	3.7912011
41.169998	3.7749488
41.18	3.7582022
41.189999	3.7409625
41.200001	3.7232326
41.209999	3.7050166
41.220001	3.6863155
41.23	3.667135
41.240002	3.6474784
41.25	3.6273518
41.259998	3.6067606
41.27	3.5857104
41.279999	3.5642071
41.290001	3.5422589
41.299999	3.5198733
41.310001	3.4970575
41.32	3.4738203
41.330002	3.4501703
41.34	3.4261168
41.349998	3.4016694
41.360001	3.3768385
41.369999	3.3516334
41.380001	3.3260663
41.389999	3.3001474
41.400002	3.2738875
41.41	3.2472991
41.419998	3.2203939
41.43	3.1931839
41.439999	3.1656809
41.450001	3.1378987
41.459999	3.1098487
41.470001	3.0815447
41.48	3.0529986
41.490002	3.0242246
41.5	2.9952356
41.509998	2.9660444
41.52	2.9366645
41.529999	2.9071095
41.540001	2.8773924
41.549999	2.8475267
41.560001	2.817526
41.57	2.7874032
41.580002	2.7571716
41.59	2.7268446
41.599998	2.696435
41.610001	2.6659561
41.619999	2.6354206
41.630001	2.6048413
41.639999	2.5742308
41.650002	2.5436017
41.66	2.5129661
41.669998	2.4823363
41.68	2.4517242
41.689999	2.4211416
41.700001	2.3906001
41.709999	2.3601111
41.720001	2.3296857
41.73	2.2993351
41.740002	2.2690697
41.75	2.2389005
41.759998	2.2088374
41.77	2.1788908
41.779999	2.1490703
41.790001	2.1193856
41.799999	2.0898462
41.810001	2.0604611
41.82	2.0312393
41.830002	2.0021898
41.84	1.9733206
41.849998	1.9446404
41.860001	1.9161569
41.869999	1.8878783
41.880001	1.8598122
41.889999	1.8319659
41.900002	1.8043469
41.91	1.7769623
41.919998	1.7498193
41.93	1.7229245
41.939999	1.6962849
41.950001	1.6699075
41.959999	1.6437987
41.970001	1.6179655
41.98	1.5924149
41.990002	1.5671537
42	1.5421893
42.009998	1.5175292
42.02	1.4931815
42.029999	1.4691548
42.040001	1.4454587
42.049999	1.4221034
42.060001	1.3991011
42.07	1.3764652
42.080002	1.3542116
42.09	1.3323594
42.099998	1.3109314
42.110001	1.289956
42.119999	1.2694682
42.130001	1.2495127
42.139999	1.2301472
42.150002	1.2114468
42.16	1.1935109
42.169998	1.1764727
42.18	1.1605113
42.189999	1.1458676
42.200001	1.1328612
42.209999	1.1219016
42.220001	1.113477
42.23	1.1080976
42.240002	1.1061797
42.25	1.107908
42.259998	1.1131638
42.27	1.1215788
42.279999	1.132668
42.290001	1.1459518
42.299999	1.1610215
42.310001	1.1775561
42.32	1.1953133
42.330002	1.2141142
42.34	1.2338268
42.349998	1.2543538
42.360001	1.2756229
42.369999	1.2975799
42.380001	1.3201837
42.389999	1.3434032
42.400002	1.3672143
42.41	1.3915979
42.419998	1.416539
42.43	1.4420257
42.439999	1.4680482
42.450001	1.4945979
42.459999	1.5216679
42.470001	1.5492519
42.48	1.5773438
42.490002	1.6059382
42.5	1.6350297
42.509998	1.6646127
42.52	1.6946815
42.529999	1.7252301
42.540001	1.7562524
42.549999	1.7877414
42.560001	1.8196897
42.57	1.8520896
42.580002	1.8849324
42.59	1.9182087
42.599998	1.9519089
42.610001	1.9860218
42.619999	2.0205363
42.630001	2.0554397
42.639999	2.0907191
42.650002	2.1263603
42.66	2.1623489
42.669998	2.1986689
42.68	2.2353038
42.689999	2.2722365
42.700001	2.309449
42.709999	2.3469222
42.720001	2.384637
42.73	2.4225732
42.740002	2.4607099
42.75	2.499026
42.759998	2.5374996
42.77	2.5761085
42.779999	2.6148307
42.790001	2.6536437
42.799999	2.6925238
42.810001	2.7314491
42.82	2.7703967
42.830002	2.8093445
42.84	2.8482701
42.849998	2.8871525
42.860001	2.9259702
42.869999	2.9647034
42.880001	3.0033329
42.889999	3.0418407
42.900002	3.0802095
42.91	3.1184236
42.919998	3.1564687
42.93	3.1943321
42.939999	3.2320028
42.950001	3.2694712
42.959999	3.3067311
42.970001	3.3437759
42.98	3.3806027
42.990002	3.4172113
43	3.4536017
